Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1482350287847403521;Happy birthday Sweetheart 😘🥳🎊🥞🥧🍰 https://t.co/4jDH70w2M5;Bee;_braben_;2022-01-15T13:53:44.000Z;Sat Jan 15 13:53:44 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/FJJduNRWYAESX9I.jpg;https://pbs.twimg.com/media/FJJdugQXwAIfVeB.jpg;https://pbs.twimg.com/media/FJJduv4XoAM6nt9.jpg;
1482350287692386309;@Jay__MS7 @Jeni_Viji @Itz_KarthiVfc6 Advance happy birthday akka 😍 eppavum happya irunga 😍 anbudan jay ney friendu 😁;HBD Guna / Mersal Mohan;Mersal_anbue;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;3;;;;;
1482350287679819776;"@QWLA_io 0x541D0925C4e0dB9CEf4d791E0115A20b274680F2

Awesome project.Looking so sustainable. Hope it will go a long way in future.Really happy to be part of such a nice project.Hope for the best.

I like your project❤😍👍

@Sajalha420  
@Airdr00p  
@MallickM86";Sabuj Halder;sabujh906;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;4;;;;;
1482350287507824642;"RT @mato_tetsu : #ミイヒ #MIIHI #NiziU_LOG
ミイヒちゃん💗💗
おはよー😁
仕事行くよ～💨💨
昨日の #NiziUの休日 
めっちゃ可愛かったよ〜😊

https://t.co/FDGb2x75Z8

#NiziU #Chopstick #Need_U #NiziU_1stAlbum #U Take a picture / Poppin' Shakin' / Step and a step / Make you happy @NiziU__official https://t.co/JnhN1YyCIV";RTちびたろRT;ro39ra7;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;ja;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;https://youtu.be/zoPtbRE5d3c ;9;1;photo;https://pbs.twimg.com/media/FJFnd2caIAEh6fT.jpg;https://pbs.twimg.com/media/FJFneLsaIAA75bk.jpg;;
1482350286593474562;"RT @jokendose : happy together, goodnight &lt;3

#JOKEN | #jokendose https://t.co/7VXbT9zKCS";J. ✨;OPMButterfly;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;2;0;photo;https://pbs.twimg.com/media/FJJWLtIaUAY2Zqq.jpg;;;
1482350286362583040;"I feel like I blinked and then it was suddenly 2022 👀

Happy 1 Year Anniversary to #WandaVision ✨ https://t.co/v4ubgwg0Pc";Sirod ミ☆;DreamWriter_20;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;1;0;animated_gif;https://video.twimg.com/tweet_video/FJJdueAXIAIHpBg.mp4;;;
1482350285498445826;"RT @MovFav : Right from Day1 I supported him and m so happy to see him at a crowning position !

Such a lovable guy , prime example he has issues only with #Pavni in this home and she too likes him a lot and registered it every damn time.

 #RajuWinningHearts";AJ;AJ97663661;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;2;0;;;;;
1482350285490364419;"RT @ShivAroor : Wishing all Indian Army personnel &amp; their families a happy, safe and peaceful #ArmyDay. It has been our privilege to document the valour of Army officers and soldiers, and won’t be stopping anytime soon. 🙏🏽🇮🇳 #IndiasMostFearless https://t.co/DGu8wmHFX8";Binu Pandu;BinuPandu;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;2;0;video;https://video.twimg.com/ext_tw_video/1482267305510051842/pu/vid/540x540/_0oiVLKr1tasBfGR.mp4?tag=12;;;
1482350285473333250;"@HobbitsWife @individeweal Yes this is why they said ""menstruation itself isn't pathological"". Some of us are unlucky to have periods that are. But many find them a minor inconvenience, and while I'd be happy to get rid of mine at any cost, I don't advocate for everyone to take medication to stop them.";Charlie;cmackenzies;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;2;;;;;
1482350285347766279;@iRangnathMishra @ishanmalik413 @Mayawati #Happy_Birthday_Behenji;पंकज शुक्ला;bsp001;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;und;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;1;3;;;;;
1482350284898811907;RT @GoodnessAmicab1 : @greybtc @mambaguild @TheCryptoU So happy I am a member of this great crypto project. Together we will shake the crypto space @ElishaOppah @achenejejoseph1 @Iykenelson13;Iykenelson;Iykenelson13;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;6;;;;;
1482350284680704003;happy one year to one of the best albums in 2021 🤍 #happyoneyeartgtatbo @whydontwemusic https://t.co/DG3vpJMToP;neomi 🧡;harveyshalo;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;1;photo;https://pbs.twimg.com/media/FJJduh9WUAkzE-p.jpg;;;
1482350284458594305;"@BiggBoss @itsmetejasswi Be happy with what you have

ONE WOMAN ARMY TEJASSWI
#TejasswiPrakash #BBQueenTejasswi";Sherni🔥🔥;enjoymylf;2022-01-15T13:53:43.000Z;Sat Jan 15 13:53:43 +0000 2022;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;2;2;;;;;
