angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.28,,"(260, 126, 135, 135)",,0.0,,0.02,,0.67,,0.0,,0.0,,0.03,
0.2,,"(257, 122, 142, 142)",,0.0,,0.03,,0.71,,0.0,,0.0,,0.06,
0.07,,"(260, 120, 137, 137)",,0.0,,0.01,,0.89,,0.0,,0.0,,0.03,
0.13,,"(256, 122, 136, 136)",,0.0,,0.04,,0.79,,0.0,,0.01,,0.03,
0.07,,"(255, 121, 135, 135)",,0.0,,0.07,,0.77,,0.01,,0.02,,0.05,
0.03,,"(254, 119, 133, 133)",,0.0,,0.03,,0.9,,0.0,,0.0,,0.04,
0.01,,"(256, 117, 131, 131)",,0.0,,0.0,,0.98,,0.0,,0.0,,0.01,
0.04,,"(248, 115, 139, 139)",,0.0,,0.03,,0.81,,0.0,,0.01,,0.11,
0.01,,"(247, 120, 125, 125)",,0.0,,0.0,,0.96,,0.0,,0.0,,0.03,
0.1,,"(243, 117, 133, 133)",,0.0,,0.03,,0.73,,0.0,,0.11,,0.02,
0.06,,"(242, 116, 132, 132)",,0.0,,0.01,,0.86,,0.0,,0.04,,0.02,
0.21,,"(237, 121, 132, 132)",,0.0,,0.05,,0.52,,0.01,,0.15,,0.06,
0.17,,"(239, 126, 122, 122)",,0.0,,0.11,,0.08,,0.01,,0.35,,0.27,
0.12,,"(238, 127, 122, 122)",,0.0,,0.13,,0.03,,0.09,,0.42,,0.2,
0.29,,"(234, 121, 130, 130)",,0.0,,0.12,,0.02,,0.05,,0.4,,0.12,
0.28,,"(237, 122, 124, 124)",,0.0,,0.21,,0.01,,0.14,,0.3,,0.06,
0.15,,"(238, 123, 123, 123)",,0.0,,0.12,,0.01,,0.47,,0.23,,0.03,
0.11,,"(239, 123, 122, 122)",,0.0,,0.06,,0.01,,0.65,,0.17,,0.01,
0.17,,"(238, 123, 125, 125)",,0.0,,0.23,,0.01,,0.19,,0.34,,0.06,
0.22,,"(237, 123, 127, 127)",,0.0,,0.17,,0.33,,0.06,,0.09,,0.12,
0.21,,"(238, 123, 127, 127)",,0.0,,0.18,,0.35,,0.07,,0.09,,0.1,
0.19,,"(238, 123, 126, 126)",,0.0,,0.13,,0.34,,0.11,,0.09,,0.13,
0.16,,"(240, 124, 125, 125)",,0.0,,0.32,,0.1,,0.15,,0.16,,0.11,
0.12,,"(242, 130, 118, 118)",,0.0,,0.36,,0.01,,0.29,,0.15,,0.07,
0.13,,"(243, 132, 114, 114)",,0.0,,0.31,,0.01,,0.29,,0.22,,0.03,
0.11,,"(243, 131, 115, 115)",,0.0,,0.44,,0.01,,0.14,,0.22,,0.09,
0.12,,"(242, 125, 118, 118)",,0.0,,0.22,,0.02,,0.39,,0.2,,0.06,
0.06,,"(240, 124, 121, 121)",,0.0,,0.22,,0.01,,0.49,,0.19,,0.03,
0.09,,"(239, 124, 121, 121)",,0.0,,0.14,,0.02,,0.56,,0.17,,0.03,
0.07,,"(240, 124, 122, 122)",,0.0,,0.2,,0.02,,0.51,,0.17,,0.04,
0.05,,"(240, 124, 122, 122)",,0.0,,0.16,,0.05,,0.58,,0.14,,0.03,
0.09,,"(240, 126, 122, 122)",,0.0,,0.14,,0.08,,0.57,,0.1,,0.03,
0.07,,"(240, 126, 122, 122)",,0.0,,0.1,,0.42,,0.34,,0.04,,0.03,
0.04,,"(239, 124, 125, 125)",,0.0,,0.07,,0.74,,0.1,,0.03,,0.03,
0.01,,"(239, 123, 127, 127)",,0.0,,0.02,,0.89,,0.03,,0.01,,0.04,
0.03,,"(239, 123, 129, 129)",,0.0,,0.03,,0.86,,0.04,,0.02,,0.03,
0.03,,"(243, 132, 118, 118)",,0.0,,0.03,,0.9,,0.01,,0.0,,0.03,
0.11,,"(242, 133, 119, 119)",,0.0,,0.06,,0.74,,0.04,,0.03,,0.02,
0.06,,"(241, 132, 120, 120)",,0.0,,0.03,,0.86,,0.02,,0.01,,0.02,
0.09,,"(241, 134, 119, 119)",,0.0,,0.09,,0.64,,0.06,,0.02,,0.1,
0.12,,"(242, 136, 116, 116)",,0.0,,0.08,,0.64,,0.09,,0.03,,0.05,
